final_class,alternative_class,count,fraction
1,1,95649,0.0021673863831830086
1,2,146846,0.003327499721114618
1,3,83501,0.0018921152378191554
1,4,11016,0.0002496202615515481
1,5,19,4.30536035718901e-07
2,1,109137,0.0024730216489607213
2,2,1285680,0.029133240547530352
2,3,813414,0.01843179152411864
2,4,144085,0.0032649360371872554
2,5,6437,0.00014586107694329294
3,1,70871,0.0016059220730228546
3,2,749721,0.016988521433432116
3,3,2477091,0.0561303652239457
3,4,1452817,0.0329205300950014
3,5,76088,0.0017241382045147231
4,1,13081,0.0002964127306967865
4,2,165514,0.003750512706104115
4,3,1431406,0.03243536130232891
4,4,10403351,0.23573776303854024
4,5,2746194,0.062228183056580615
5,1,71,1.6088451861074724e-06
5,2,5231,0.00011853336857081955
5,3,86722,0.0019651024257691862
5,4,3161627,0.07164180815799168
5,5,18595464,0.4213693343638704
