metric,value
count,44131033
mean,-0.01045453641563654
median,0.0
std,0.5886403918266296
min,-3.15000057220459
max,3.15000057220459
p01,-1.7499995231628418
p05,-1.0499992370605469
p10,-0.7000002861022949
p25,0.0
p75,0.0
p90,0.7000002861022949
p95,1.0499992370605469
p99,1.4000000953674316
mean_absolute_error,0.34710079431533813
median_absolute_difference,0.0
rmse,0.5887338929849109
positive_pixels,9380400
negative_pixels,9778281
zero_pixels_exact,24972352
positive_fraction,0.2125579068135568
negative_fraction,0.22157380725712902
within_abs_threshold_fraction,"{""0.01"": 0.5658682859293142, ""0.05"": 0.5658682859293142, ""0.10"": 0.5658682859293142, ""0.25"": 0.5658682859293142, ""0.50"": 0.6921265813107071, ""1.00"": 0.8229572600306002}"
