classe_completo,classe_lite,pixels,area_m2,fraction
1,1,335338,8584.652800000702,0.00761192091944672
1,2,1047,26.803200000002192,2.3766114197200184e-05
1,3,0,0.0,0.0
1,4,0,0.0,0.0
1,5,0,0.0,0.0
2,1,45955,1176.4480000000963,0.0010431440094864704
2,2,2297670,58820.35200000481,0.05215538453436576
2,3,10662,272.9472000000223,0.0002420193978706288
2,4,0,0.0,0.0
2,5,0,0.0,0.0
3,1,0,0.0,0.0
3,2,90270,2310.912000000189,0.0020490612498388354
3,3,4684219,119916.0064000098,0.10632825566255477
3,4,41256,1056.1536000000863,0.0009364802362174697
3,5,0,0.0,0.0
4,1,0,0.0,0.0
4,2,0,0.0,0.0
4,3,206209,5278.950400000432,0.0046807895343748355
4,4,14389142,368362.03520003014,0.32662272394625547
4,5,141115,3612.5440000002955,0.003203204589243461
5,1,0,0.0,0.0
5,2,0,0.0,0.0
5,3,0,0.0,0.0
5,4,335900,8599.040000000703,0.007624677897649992
5,5,21475537,549773.7472000449,0.4874785719084984
